FirstPartyVehicleNumber,ThirdPartyVehicleNumber,DamageImportance,PolicyWasSubscribedOnInternet,NumberOfPoliciesOfPolicyholder,FpVehicleAgeMonths,EasinessToStage,ClaimWihoutIdentifiedThirdParty,ClaimAmount,LossHour,PolicyHolderAge,NumberOfBodilyInjuries,FirstPartyLiability,Fraud,days_between,IfinSameArea,PolicyholderOccupation_CivilServant,PolicyholderOccupation_Employee,PolicyholderOccupation_Executive,PolicyholderOccupation_Farmer,PolicyholderOccupation_HeadOfCompany,PolicyholderOccupation_Merchant,PolicyholderOccupation_Retired,PolicyholderOccupation_SelfEmployed,PolicyholderOccupation_Student,PolicyholderOccupation_Unemployed,PolicyholderOccupation_Worker,ClaimCause_AccidentOrCollision,ClaimCause_AccidentWithIdentifiedThirdParty,ClaimCause_AccidentWithUnidentifiedThirdParty,ClaimCause_CollisionWithAnimal,ClaimCause_CollisionWithPedestrian,ClaimCause_Fire,ClaimCause_Flood,ClaimCause_ForcesOfNature,ClaimCause_Hail,ClaimCause_LegalProtection,ClaimCause_LossOfControl,ClaimCause_MultiVehicleCrash,ClaimCause_Storm,ClaimCause_TheftAttempt,ClaimCause_TheftOfExteriorElements,ClaimCause_TotalTheft,ClaimCause_Vandalism,ClaimCause_WindscreenDamage,ClaimInvolvedCovers_ActLiability,ClaimInvolvedCovers_ActLiability Burglary,ClaimInvolvedCovers_ActLiability Fire,ClaimInvolvedCovers_ActLiability NaturalCatastrophes,ClaimInvolvedCovers_ActLiability ReplacementVehicle,ClaimInvolvedCovers_ActLiability Theft,ClaimInvolvedCovers_ActLiability ThirdParty,ClaimInvolvedCovers_MaterialDamages,ClaimInvolvedCovers_MaterialDamages ActLiability,ClaimInvolvedCovers_MaterialDamages ActLiability Burglary,ClaimInvolvedCovers_MaterialDamages ActLiability MedicalCare,ClaimInvolvedCovers_MaterialDamages ActLiability ReplacementVehicle,ClaimInvolvedCovers_MaterialDamages ActLiability ThirdParty,ClaimInvolvedCovers_ThirdParty,ClaimInvolvedCovers_Windscreen,ClaimInvolvedCovers_Windscreen ActLiability,ClaimInvolvedCovers_other,FirstPartyVehicleType_Car,FirstPartyVehicleType_Caravan,FirstPartyVehicleType_Motorcycle,FirstPartyVehicleType_PrivateCar,ConnectionBetweenParties_SameAddress,ConnectionBetweenParties_SameBankAccount,ConnectionBetweenParties_SameEmail,ConnectionBetweenParties_SamePhone,ConnectionBetweenParties_SamePolice
0,0.0,0,0,1.0,0.0,0.16463414634146342,0.25,1.0,0.07148401755904538,0.34782608695652173,0.375,0.0,1.0,0.0,0.0531200221621996,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.0,0,0,0.0,0.11764705882352941,0.3567073170731707,0.5,1.0,0.024836311363917396,0.4782608695652174,0.027777777777777776,0.0,1.0,0.0,0.07763695546783018,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0.0,0,0,0.0,0.47058823529411764,0.14786585365853658,0.25,0.0,0.015429083714603685,0.782608695652174,0.19444444444444445,0.0,0.5,0.0,0.4600734122861694,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0.0,0,0,0.0,0.058823529411764705,0.09146341463414634,0.25,0.0,0.03874922715469272,0.4782608695652174,0.3888888888888889,0.0,0.5,0.0,0.08864879839324052,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0.0,1,0,0.0,0.17647058823529413,0.17378048780487804,0.25,0.0,0.0001854828737479906,0.5217391304347826,0.1388888888888889,0.0,0.0,0.0,0.06392409446637579,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0.0,0,0,0.0,0.058823529411764705,0.4481707317073171,0.5,1.0,0.0,0.0,0.4027777777777778,0.0,0.0,0.0,0.26601565205346633,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0.0,0,0,1.0,0.0,0.11280487804878049,0.5,1.0,0.0051276740447632006,0.0,0.2361111111111111,0.0,0.0,0.0,0.060876792021608145,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7,0.0,0,0,0.0,0.17647058823529413,0.19969512195121952,0.25,0.0,0.04163719549894893,0.6521739130434783,0.25,0.0,1.0,0.0,0.3903317404252372,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0.0,0,0,0.0,0.29411764705882354,0.018292682926829267,0.25,1.0,0.020321349078768394,0.391304347826087,0.5694444444444444,0.0,0.0,0.0,0.26601565205346633,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0.0,0,0,0.0,0.0,0.10518292682926829,0.25,0.0,0.054435204649437366,0.8260869565217391,0.1111111111111111,0.0,0.0,0.0,0.3230140591453702,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0.0,0,0,0.0,0.058823529411764705,0.08384146341463415,0.5,1.0,0.01878786942005688,0.5217391304347826,0.5555555555555556,0.0,0.0,0.0,0.08691737654962255,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,0.0,0,0,0.0,0.47058823529411764,0.19969512195121952,0.5,1.0,0.05238376406578459,0.8695652173913043,0.1527777777777778,0.0,0.0,0.0,0.3903317404252372,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0.0,0,0,0.0,0.058823529411764705,0.23323170731707318,0.5,1.0,0.003417676517868184,0.0,0.3611111111111111,0.0,0.0,0.0,0.07756769859408547,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
13,0.0,0,0,1.0,0.058823529411764705,0.2027439024390244,0.25,0.0,0.023186132063806108,0.6521739130434783,0.6527777777777778,0.0,0.0,0.0,0.07168086432578434,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0.0,0,0,0.0,0.058823529411764705,0.16158536585365854,0.5,1.0,0.0018628663286756521,0.8695652173913043,0.6944444444444444,0.0,0.0,0.0,0.4537017799016552,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15,0.0,0,2,1.0,0.11764705882352941,0.14786585365853658,0.25,0.0,0.30140966984048473,0.43478260869565216,0.16666666666666666,0.0,0.0,0.0,0.05526698524828589,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0.0,0,0,0.0,0.0,0.3490853658536585,0.5,1.0,0.007602788425868678,0.0,0.25,0.0,0.0,0.0,0.49767989472955193,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17,0.0,0,2,1.0,0.0,0.28353658536585363,0.25,0.0,0.01468406083838259,0.5217391304347826,0.0,0.0,0.0,0.0,0.054920700879562294,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0.0,0,0,0.0,0.0,0.16615853658536586,0.15,0.0,0.04775256584642018,0.4782608695652174,0.1388888888888889,0.0,0.0,0.0,0.35861209225015583,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0.0,0,0,0.0,0.058823529411764705,0.010670731707317074,0.25,1.0,0.01680397551626067,0.4782608695652174,0.5972222222222222,0.0,0.0,0.0,0.05644435210194612,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0.0,0,0,1.0,0.0,0.21189024390243902,0.5,1.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.06129233326407646,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
21,0.0,0,0,1.0,0.0,0.042682926829268296,0.5,1.0,0.023754482502782243,0.2608695652173913,0.4583333333333333,0.0,1.0,0.0,0.34815430431470323,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,0.0,0,0,0.0,0.11764705882352941,0.3475609756097561,0.5,1.0,0.005701743539013231,0.0,0.4583333333333333,0.0,0.0,0.0,0.09529745827273357,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
23,0.0,0,0,0.0,0.0,0.18902439024390244,0.25,1.0,0.01609465809323606,0.6521739130434783,0.6527777777777778,0.0,0.0,0.0,0.046125077913982966,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
